Rep,Treatment,Time,FIL,Weight (g)
500/1_4,500,3,0,0.1323
500/1_4,500,4,0,0.261
500/2_4,500,1,0,0.0251
500/2_4,500,2,0,0.0422
500/2_4,500,3,0,0.1754
500/2_4,500,4,0,0.283
500/3_4,500,1,0,0.0203
500/4_4,500,1,0,0.0193
500/4_4,500,2,0,0.0192
500/5_4,500,1,0,0.0205
500/6_4,500,1,0,0.0162
500/7_4,500,1,0,0.0211
500/7_4,500,2,0,0.0358
500/8_4,500,1,0,0.0237
500/9_4,500,1,0,0.0213
500/10_4,500,1,0,0.0206
